0.136	0.00026787191982807735
0.1365	0.00047721932331364737
0.137	0.0006859635808647135
0.1375	0.0008938795805374509
0.138	0.001098731820493512
0.1385	0.0013013154365265585
0.139	0.0015027346421198691
0.1395	0.001700996838714475
0.14	0.0018930380296275852
0.1405	0.002080510184812592
0.14100000000000001	0.0022624720019389214
0.14150000000000001	0.002439069741414783
0.14200000000000002	0.0026099023383809048
0.14250000000000002	0.0027730044793552984
0.14300000000000002	0.0029315499565165048
0.14350000000000002	0.003078837801896186
0.14400000000000002	0.003222286976142663
0.14450000000000002	0.003351572130627051
0.14500000000000002	0.0034752399719106108
0.14550000000000002	0.003585389844153274
0.14600000000000002	0.0036850606042541905
0.14650000000000002	0.0037755895932245404
0.14700000000000002	0.0038469168992258896
0.14750000000000002	0.003920418000090841
0.14800000000000002	0.003954803277748147
0.14850000000000002	0.003998942573721283
0.14900000000000002	0.0040054990414453125
0.14950000000000002	0.004015184423790556
0.15000000000000002	0.003986223227185928
0.15050000000000002	0.003938833410026648
0.15100000000000002	0.0038729501314160044
0.15150000000000002	0.0037690270825881324
0.15200000000000002	0.003620565730433355
0.15200000000000002	0.0006077205864279345
0.15150000000000002	0.0004960704266884304
0.15100000000000002	0.0004133274844381998
0.15050000000000002	0.00035143195321362097
0.15000000000000002	0.00030005944730365715
0.14950000000000002	0.0002576526511528648
0.14900000000000002	0.00022838510712219328
0.14850000000000002	0.00019924871658850114
0.14800000000000002	0.00018022410627720843
0.14750000000000002	0.00015907170454697441
0.14700000000000002	0.00014661764597203496
0.14650000000000002	0.00013331412382424441
0.14600000000000002	0.0001234666564071487
0.14550000000000002	0.00011481210039370126
0.14500000000000002	0.00010748727171629959
0.14450000000000002	0.0001019418874142507
0.14400000000000002	0.00009665007210946016
0.14350000000000002	0.00009313222511791659
0.14300000000000002	0.00008948504013244254
0.14250000000000002	0.00008706606778064347
0.14200000000000002	0.00008464341401488135
0.14150000000000001	0.00008282967600158781
0.14100000000000001	0.0000812765488499248
0.1405	0.00007993296116494677
0.14	0.00007887642096577795
0.1395	0.0000779612433539922
0.139	0.00007769782365666877
0.1385	0.0000774827039152562
0.138	0.00007686392503687253
0.1375	0.00007633998524296561
0.137	0.00007672761595042098
0.1365	0.00007839848862629682
0.136	0.00008466901031486779
0.136	0.00026787191982807735
